seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
lane122s000602_bin.1.o_k141_489960-flag_0-multi_5.1358-len_5076	5076	No terminal repeats	NA	7	11	0.9986	0.0012	0	4.7315	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.1.o_k141_658450-flag_1-multi_3.8365-len_5169	5169	No terminal repeats	NA	7	11	0.9986	0.0012	1	6.4793	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000536_megahit_k141_191-flag=0-multi=187.9904-len=467785|provirus_459817_467398	7582	Provirus	459817-467398	12	11	0.9986	0.0012	1	8.5442	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003953_shovill_contig00007|provirus_3790_35922	32133	Provirus	3790-35922	52	11	0.9986	0.0012	12	35.9414	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane821s003041_shovill_contig00009|provirus_3790_35922	32133	Provirus	3790-35922	52	11	0.9986	0.0012	12	35.9414	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_409047-flag_1-multi_6.0000-len_12717	12717	No terminal repeats	NA	16	11	0.9986	0.0012	8	21.4949	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_216178-flag_1-multi_2.0000-len_3743	3743	No terminal repeats	NA	6	11	0.9986	0.0012	1	4.9739	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000607_bin.1.p_NODE_6_length_16306_cov_6.576930	16306	No terminal repeats	NA	23	11	0.9986	0.0012	4	19.0355	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_418233-flag_1-multi_6.0000-len_5494	5494	No terminal repeats	NA	3	11	0.9986	0.0012	2	3.9741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.4.o_k141_96018-flag_1-multi_6.0000-len_12743	12743	No terminal repeats	NA	29	11	0.9986	0.0012	0	10.4478	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_437999-flag_1-multi_6.0000-len_3857	3857	No terminal repeats	NA	4	11	0.9986	0.0012	2	4.9506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_419072-flag_1-multi_2.0000-len_2525	2525	No terminal repeats	NA	6	11	0.9986	0.0012	1	8.3309	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_476439-flag_1-multi_3.7319-len_2920	2920	No terminal repeats	NA	6	11	0.9985	0.0012	3	6.0506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003995_shovill_contig00001|provirus_160343_204267	43925	Provirus	160343-204267	72	11	0.9985	0.0012	12	58.2620	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000520_bin.1.p_NODE_61_length_23763_cov_7.069788	23763	No terminal repeats	NA	30	11	0.9985	0.0012	10	30.3864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000536_megahit_k141_86-flag=0-multi=186.9201-len=56023|provirus_21396_55872	34477	Provirus	21396-55872	57	11	0.9985	0.0012	17	59.7306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_336847-flag_1-multi_1.0000-len_2998	2998	No terminal repeats	NA	3	11	0.9985	0.0012	0	5.1427	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_415598-flag_1-multi_2.0000-len_1555	1555	No terminal repeats	NA	4	11	0.9985	0.0012	1	6.5118	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_126825-flag_1-multi_3.0000-len_4726	4726	No terminal repeats	NA	10	11	0.9985	0.0013	1	6.8792	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000721_shovill_contig00257	4257	No terminal repeats	NA	9	11	0.9985	0.0013	2	7.0650	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941	4941	No terminal repeats	NA	7	11	0.9985	0.0013	0	10.0220	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003962_megahit_k141_37-flag=1-multi=4.7043-len=3002	3002	No terminal repeats	NA	5	11	0.9985	0.0013	4	6.3862	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_728419-flag_0-multi_7.9787-len_4080	4080	No terminal repeats	NA	6	11	0.9985	0.0013	2	4.6447	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_440511-flag_0-multi_12.6136-len_10878	10878	No terminal repeats	NA	15	11	0.9985	0.0013	3	9.2722	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.1.o_k141_72470-flag_0-multi_7.0000-len_9801	9801	No terminal repeats	NA	16	11	0.9985	0.0013	1	10.5757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.3.s_NODE_12_length_36509_cov_9.369346	36509	No terminal repeats	NA	48	11	0.9984	0.0013	11	43.9423	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000515_shovill_contig00001|provirus_412858_455329	42472	Provirus	412858-455329	61	11	0.9984	0.0013	16	65.8710	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003972_shovill_contig00002|provirus_537953_573110	35158	Provirus	537953-573110	48	11	0.9984	0.0013	16	49.8969	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000520_bin.1.p_NODE_111_length_5063_cov_5.540313	5063	No terminal repeats	NA	9	11	0.9984	0.0013	0	4.4499	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.2.s_NODE_303_length_4013_cov_1.899390	4013	No terminal repeats	NA	6	11	0.9984	0.0013	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.2.s_NODE_112_length_6510_cov_1.915747	6510	No terminal repeats	NA	13	11	0.9984	0.0013	1	5.8545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.1.o_k141_593899-flag_1-multi_4.0000-len_2532	2532	No terminal repeats	NA	4	11	0.9984	0.0013	0	6.0502	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003972_bin.2.s_NODE_433_length_2730_cov_2.202035	2730	No terminal repeats	NA	5	11	0.9984	0.0013	1	8.0430	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000600_bin.1.s_NODE_19_length_36365_cov_5.949377	36365	No terminal repeats	NA	49	11	0.9984	0.0013	11	43.9423	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane821s003043_bin.1.s_NODE_2_length_616176_cov_1010.765517|provirus_270165_311744	41580	Provirus	270165-311744	58	11	0.9984	0.0013	8	39.1363	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_166273-flag_1-multi_4.0000-len_7442	7442	No terminal repeats	NA	8	11	0.9983	0.0013	0	4.8164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_460483-flag_0-multi_3.9884-len_3241	3241	No terminal repeats	NA	4	11	0.9983	0.0013	2	4.8300	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_55745-flag_1-multi_7.0000-len_8721	8721	No terminal repeats	NA	20	11	0.9983	0.0013	0	11.0609	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.1.o_k141_507325-flag_0-multi_10.3678-len_9077	9077	No terminal repeats	NA	15	11	0.9983	0.0013	3	10.7477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
