query	reference	seqid	len	mismatch	gap	query_start	query_end	target_start	target_end	eval	bitscore
ISMysp1	lane121s003979_bin.1.s_NODE_17_length_82511_cov_105.614188_85	24.7	304	209	9	101	391	105	401	1.04E-07	58.2
ISMysp1	lane121s003980_megahit_k141_51-flag=0-multi=212.9211-len=110879_19	24.7	304	209	9	101	391	105	401	1.04E-07	58.2
ISMysp1	lane121s003976_shovill_contig00038_2	21.5	344	231	6	7	317	39	376	1.25E-07	58.2
ISMysp1	lane121s003977_shovill_contig00037_2	21.5	344	231	6	7	317	39	376	1.25E-07	58.2
ISMysp1	lane122s000606_bin.1.o_k141_165918-flag_1-multi_2.0000-len_2126_2	26.7	225	160	3	100	320	105	328	1.87E-07	57.4
ISMysp1	lane121s003958_shovill_contig00035_14	21.5	344	231	6	7	317	32	369	2.16E-07	57.4
ISMysp1	lane121s003995_shovill_contig00038_19	29.9	177	114	5	228	399	52	223	3.94E-07	54.7
ISMysp1	lane122s000607_bin.1.p_NODE_2445_length_1203_cov_2.354352_1	27.1	229	154	4	100	320	40	263	4.62E-07	55.8
ISMysp1	lane122s000541_shovill_contig00002_786	22.1	402	289	12	6	391	8	401	9.73E-07	55.1
ISMysp1	lane122s000541_shovill_contig00002_776	24	304	211	9	501	791	105	401	1.29E-06	54.7
ISMysp1	lane122s000605_bin.2.o_k141_233111-flag_1-multi_2.0000-len_2112_2	24.9	313	176	10	9	320	13	267	1.42E-06	54.3
ISMysp1	lane121s003978_shovill_contig00012_46	24	304	211	9	101	391	105	401	2.25E-06	53.9
ISMysp1	lane122s000532_bin.1.p_NODE_7_length_141729_cov_123.739333_30	22.4	402	288	12	6	391	8	401	2.25E-06	53.9
ISMysp1	lane122s000524_shovill_contig00001_750	23.7	304	212	9	101	391	105	401	2.97E-06	53.5
ISMysp1	lane121s003968_megahit_k141_121-flag=0-multi=461.7752-len=2063_2	23.7	304	212	9	101	391	105	401	3.93E-06	53.1
ISMysp1	lane121s003995_shovill_contig00038_6	24.8	226	121	7	101	323	88	267	5.56E-06	52.4
ISMysp1	lane122s000602_bin.1.o_k141_674606-flag_0-multi_5.9868-len_4671_1	28.8	153	100	3	7	155	11	158	6.15E-06	50.1
ISMysp1	lane122s000601_bin.1.o_k141_52643-flag_1-multi_6.0000-len_4352_2	26.7	296	163	11	101	392	88	333	9.77E-06	51.6
ISMysp1	lane122s000516_shovill_contig00007_196	23.5	336	234	6	1	322	12	338	2.15E-05	50.8
ISMysp1	lane122s000523_bin.1.p_NODE_38_length_48117_cov_112.774875_31	25.4	319	173	8	5	318	2	260	5.21E-05	49.3
ISMysp1	lane821s003044_shovill_contig00124_1	25.4	319	173	8	5	318	2	260	5.21E-05	49.3
ISMysp1	lane122s000607_bin.1.p_NODE_762_length_3163_cov_2.497408_4	36.7	79	50	0	242	320	184	262	6.96E-05	48.9
ISMysp1	lane821s003043_bin.1.s_NODE_21_length_1516_cov_703.561501_2	23.9	314	194	9	8	320	22	291	8.60E-05	48.9
ISMysp1	lane122s000601_bin.6.o_k141_51231-flag_1-multi_4.0000-len_8734_8	33	182	94	9	223	391	143	309	1.17E-04	48.1
ISMysp1	lane122s000605_bin.3.p_NODE_1170_length_2066_cov_1.304676_2	36.7	79	50	0	242	320	213	291	1.33E-04	48.1
ISMysp1	lane121s003960_shovill_contig00050_13	22.7	330	244	5	1	322	12	338	1.50E-04	48.1
ISMysp1	lane121s003962_megahit_k141_1229-flag=1-multi=5.9232-len=6988_5	32.2	90	59	1	228	317	172	259	1.63E-04	47.8
ISMysp1	lane122s000601_bin.6.o_k141_389058-flag_1-multi_4.5441-len_3126_3	25.6	219	118	8	101	319	88	261	2.84E-04	47
ISMysp1	lane122s000605_bin.2.o_k141_58742-flag_0-multi_13.8112-len_5227_1	25.8	229	155	7	98	322	120	337	3.12E-04	47.4
ISMysp1	lane121s003958_shovill_contig00001_447	23.8	311	223	5	501	801	14	320	3.53E-04	46.6
ISMysp1	lane122s000523_bin.1.p_NODE_85_length_8817_cov_113.243478_7	25.2	314	180	8	5	318	2	260	6.56E-04	45.8
ISMysp1	lane821s003044_shovill_contig00056_22	25.2	314	180	8	5	318	2	260	6.56E-04	45.8
ISMysp1	lane821s003038_bin.1.o_k141_34-flag_0-multi_1375.8503-len_110362_2	25.1	227	155	6	101	325	91	304	7.91E-04	45.4
ISLiv1	lane121s003996_shovill_contig00001_48	64.2	450	160	1	1	449	36	485	3.54E-208	587
ISLiv1	lane121s003954_shovill_contig00025_2	63.1	450	165	1	1	449	1	450	3.16E-205	578
ISLiv1	lane122s000539_shovill_contig00060_1	64.2	274	96	1	1	272	1	274	8.18E-114	338
ISLiv1	lane121s003954_shovill_contig00045_1	42.9	361	197	4	89	443	1	358	3.89E-84	266
ISLiv1	lane122s000529_megahit_k141_600-flag=1-multi=11.2163-len=42113_9	47.7	277	137	4	132	402	3	277	3.11E-75	240
ISLiv1	lane122s000519_bin.1.s_NODE_24_length_61802_cov_7.942859_52	52.9	189	85	1	256	444	1	185	5.94E-64	207
ISLiv1	lane122s000539_shovill_contig00119_1	70.6	136	40	0	37	172	1	136	1.74E-59	194
ISLiv1	lane121s003996_shovill_contig00002_1	51	200	96	2	16	213	15	214	3.83E-54	183
ISLiv1	lane121s003996_shovill_contig00034_1	43.3	254	135	4	183	430	4	254	4.49E-54	184
ISLiv1	lane121s003996_shovill_contig00005_1	50.3	197	96	2	16	210	15	211	1.05E-51	176
ISLiv1	lane122s000539_shovill_contig00028_14	52	152	73	0	293	444	61	212	2.00E-50	173
ISLiv1	lane122s000540_bin.1.p_NODE_76_length_31395_cov_15.636854_1	43.7	197	110	1	245	440	1	197	9.42E-45	159
ISLiv1	lane121s003996_shovill_contig00036_1	50	166	82	1	49	213	3	168	4.98E-43	152
ISLiv1	lane122s000529_megahit_k141_418-flag=0-multi=10.9971-len=82679_2	50.3	155	75	1	161	313	10	164	7.02E-42	149
ISLiv1	lane121s003954_shovill_contig00049_1	39	231	132	4	89	313	1	228	2.84E-41	149
ISLiv1	lane122s000515_shovill_contig00003_323	48.2	164	84	1	16	178	15	178	3.20E-41	148
ISLiv1	lane122s000519_bin.1.s_NODE_24_length_61802_cov_7.942859_51	63.7	124	43	1	132	253	3	126	7.71E-41	145
ISLiv1	lane122s000605_bin.2.o_k141_169325-flag_1-multi_6.0000-len_1861_1	27.7	441	300	9	15	439	15	452	4.21E-38	147
ISLiv1	lane122s000523_bin.1.p_NODE_111_length_1530_cov_218.715760_1	28	454	286	11	17	449	17	450	2.42E-37	145
ISLiv1	lane821s003044_shovill_contig00119_1	28	454	286	11	17	449	17	450	2.42E-37	145
ISLiv1	lane122s000539_shovill_contig00117_1	61.5	109	42	0	1	109	1	109	9.22E-37	134
ISLiv1	lane821s003038_bin.1.o_k141_215-flag_0-multi_1570.1000-len_17652_21	61.5	109	42	0	1	109	1	109	9.22E-37	134
ISLiv1	lane122s000529_megahit_k141_633-flag=0-multi=12.9971-len=49482_29	58.3	103	43	0	1	103	1	103	4.02E-33	124
ISLiv1	lane122s000529_megahit_k141_418-flag=0-multi=10.9971-len=82679_1	71.1	83	24	0	90	172	1	83	6.74E-33	122
ISLiv1	lane121s003958_shovill_contig00002_519	47.1	136	72	0	305	440	1	136	5.96E-31	119
ISLiv1	lane121s003954_shovill_contig00052_1	44.5	155	84	2	98	250	2	156	8.92E-31	119
ISLiv1	lane122s000539_shovill_contig00155_1	73	74	20	0	68	141	1	74	1.37E-30	115
ISLiv1	lane821s003038_bin.1.o_k141_94-flag_1-multi_1672.5449-len_44232_44	55.7	97	43	0	348	444	5	101	2.59E-30	116
ISLiv1	lane121s003958_shovill_contig00003_1	43.3	134	74	2	1	133	1	133	4.28E-29	114
ISLiv1	lane122s000539_shovill_contig00138_1	51.6	95	46	0	236	330	1	95	4.60E-29	112
ISLiv1	lane122s000519_bin.1.s_NODE_19_length_72139_cov_11.070037_42	56	91	40	0	16	106	2	92	1.50E-28	111
ISLiv1	lane122s000529_megahit_k141_584-flag=1-multi=9.6879-len=11008_2	62.2	90	34	0	1	90	1	90	1.59E-28	110
ISLiv1	lane122s000529_megahit_k141_600-flag=1-multi=11.2163-len=42113_8	60	90	36	0	1	90	3	92	3.12E-27	107
ISLiv1	lane122s000529_megahit_k141_98-flag=1-multi=6.0755-len=1875_3	63.3	79	29	0	72	150	2	80	1.41E-26	105
ISLiv1	lane122s000529_megahit_k141_152-flag=0-multi=12.0000-len=19842_20	62.5	96	34	1	132	225	3	98	1.32E-25	103
ISLiv1	lane121s003954_shovill_contig00017_24	48.9	94	48	0	181	274	19	112	1.56E-23	98.2
ISLiv1	lane122s000540_bin.1.p_NODE_267_length_890_cov_18.722017_2	47.9	94	48	1	10	102	27	120	3.97E-23	98.6
ISLiv1	lane122s000539_shovill_contig00143_1	60.8	79	31	0	1	79	14	92	1.14E-22	94.7
ISLiv1	lane122s000539_shovill_contig00008_156	81.1	53	10	0	392	444	5	57	9.27E-22	91.3
ISLiv1	lane122s000539_shovill_contig00171_1	81.1	53	10	0	392	444	5	57	9.27E-22	91.3
ISLiv1	lane122s000539_shovill_contig00188_1	81.1	53	10	0	392	444	5	57	9.27E-22	91.3
ISLiv1	lane122s000529_megahit_k141_426-flag=0-multi=8.9905-len=10295_10	81.1	53	10	0	392	444	8	60	1.00E-21	91.3
ISLiv1	lane122s000606_bin.2.s_NODE_718_length_2090_cov_3.659215_1	24.6	483	303	15	8	448	7	470	3.52E-21	99
ISLiv1	lane122s000539_shovill_contig00001_409	47.6	103	38	1	1	103	1	87	4.73E-21	90.5
ISLiv1	lane821s003038_bin.1.o_k141_105-flag_0-multi_1470.8008-len_227983_134	47.6	103	38	1	1	103	1	87	4.73E-21	90.5
ISLiv1	lane121s003958_shovill_contig00049_1	37	146	90	2	198	341	3	148	4.98E-21	92
ISLiv1	lane121s003954_shovill_contig00063_1	54.8	84	37	1	16	98	17	100	8.90E-21	89.7
ISLiv1	lane122s000519_bin.1.s_NODE_88_length_2002_cov_5.129870_1	48.7	78	40	0	267	344	8	85	9.08E-21	90.1
ISLiv1	lane122s000517_bin.1.p_NODE_3_length_725817_cov_52.494282_136	53.2	77	36	0	181	257	9	85	1.56E-20	88.6
ISLiv1	lane122s000519_bin.2.s_NODE_3_length_725751_cov_64.567532_659	53.2	77	36	0	181	257	9	85	1.56E-20	88.6
ISLiv1	lane122s000529_megahit_k141_167-flag=0-multi=10.0000-len=19618_1	54.7	75	34	0	351	425	1	75	1.62E-20	88.2
ISLiv1	lane121s003954_shovill_contig00059_1	54.8	84	37	1	16	98	49	132	2.16E-20	89.7
ISLiv1	lane122s000606_bin.2.s_NODE_1052_length_1472_cov_1.162007_1	44.8	96	53	0	62	157	1	96	4.79E-20	88.2
ISLiv1	lane121s003954_shovill_contig00064_1	44.9	98	54	0	278	375	1	98	1.09E-19	86.7
ISLiv1	lane122s000539_shovill_contig00189_1	69.4	62	19	0	106	167	1	62	1.39E-19	85.1
ISLiv1	lane121s003958_shovill_contig00020_1	48.9	90	46	0	351	440	1	90	2.95E-19	85.5
ISLiv1	lane122s000519_bin.1.s_NODE_54_length_15272_cov_7.143139_15	80.4	46	9	0	399	444	1	46	4.03E-18	80.9
ISLiv1	lane122s000541_shovill_contig00011_70	21.5	470	325	9	19	446	24	491	5.52E-18	89.4
ISLiv1	lane122s000519_bin.1.s_NODE_61_length_12339_cov_7.410781_4	55.1	78	35	0	1	78	1	78	8.41E-18	81.3
ISLiv1	lane821s003037_bin.1.p_NODE_3_length_614506_cov_532.112420_246	22.6	474	295	12	21	438	20	477	1.27E-17	88.2
ISLiv1	lane122s000540_bin.1.p_NODE_267_length_890_cov_18.722017_1	34.8	135	80	2	133	259	1	135	4.12E-17	80.9
ISLiv1	lane122s000539_shovill_contig00187_1	56.1	66	29	0	358	423	1	66	6.11E-17	77.8
ISLiv1	lane122s000529_megahit_k141_152-flag=0-multi=12.0000-len=19842_21	54.2	72	33	0	1	72	4	75	1.66E-16	77
ISLiv1	lane122s000523_bin.1.p_NODE_113_length_1477_cov_140.539286_1	24.3	460	300	14	18	441	20	467	2.15E-16	84.3
ISLiv1	lane122s000539_shovill_contig00190_1	59.7	62	25	0	12	73	1	62	2.64E-16	75.9
ISLiv1	lane122s000529_megahit_k141_441-flag=0-multi=8.9891-len=10459_10	76.7	43	10	0	392	434	8	50	7.87E-14	68.6
ISLiv1	lane122s000606_bin.2.s_NODE_794_length_1936_cov_1.374395_1	28	236	150	7	16	246	27	247	1.40E-13	75.1
ISLiv1	lane122s000519_bin.1.s_NODE_12_length_95021_cov_11.032672_74	54.7	64	29	0	1	64	82	145	3.45E-13	69.7
ISLiv1	lane121s003954_shovill_contig00082_1	51.6	62	30	0	63	124	2	63	3.62E-13	67
ISLiv1	lane122s000600_bin.3.p_NODE_381_length_2658_cov_7.085238_2	23.2	513	305	14	4	439	8	508	4.13E-13	74.3
ISLiv1	lane121s003958_shovill_contig00103_1	44.9	69	38	0	305	373	1	69	4.83E-13	67
ISLiv1	lane122s000529_megahit_k141_418-flag=0-multi=10.9971-len=82679_3	52.2	69	26	2	355	423	11	72	6.30E-13	67
ISLiv1	lane122s000519_bin.1.s_NODE_24_length_61802_cov_7.942859_50	55	60	27	0	1	60	1	60	6.42E-13	66.2
ISLiv1	lane122s000605_bin.3.p_NODE_1492_length_1746_cov_1.621330_1	25.4	284	194	7	13	290	12	283	7.69E-13	72.8
ISLiv1	lane122s000540_bin.1.p_NODE_130_length_11761_cov_15.624786_9	23.9	468	304	16	10	438	10	464	9.01E-13	73.2
ISLiv1	lane121s003958_shovill_contig00104_1	42.9	70	40	0	64	133	1	70	1.23E-12	65.9
ISLiv1	lane121s003960_shovill_contig00096_1	20.9	464	319	11	19	438	100	559	1.42E-12	72.8
ISLiv1	lane121s003958_shovill_contig00049_2	40	90	54	0	101	190	1	90	2.64E-12	65.5
ISLiv1	lane122s000601_bin.1.o_k141_526522-flag_1-multi_4.3696-len_3423_3	26.7	270	185	7	19	278	8	274	5.58E-12	70.1
ISLiv1	lane122s000606_bin.3.o_k141_702325-flag_1-multi_1.0000-len_3252_3	30.8	146	98	2	16	159	15	159	1.13E-11	66.2
ISLiv1	lane122s000607_bin.1.p_NODE_1653_length_1932_cov_2.019407_1	23.2	469	297	15	18	436	30	485	5.02E-11	67.8
ISLiv1	lane121s003958_shovill_contig00114_1	59.6	52	21	0	389	440	5	56	1.12E-10	60.1
ISLiv1	lane121s003958_shovill_contig00026_1	59.6	52	21	0	389	440	6	57	1.14E-10	60.1
ISLiv1	lane122s000529_megahit_k141_584-flag=1-multi=9.6879-len=11008_1	63.5	52	19	0	132	183	3	54	2.16E-10	58.9
ISLiv1	lane821s003044_shovill_contig00138_1	28.5	200	132	7	248	441	12	206	5.55E-10	62
ISLiv1	lane122s000529_megahit_k141_98-flag=1-multi=6.0755-len=1875_2	52.7	55	26	0	1	55	1	55	5.65E-10	57.8
ISLiv1	lane122s000600_bin.2.o_k141_222054-flag_1-multi_3.0000-len_1854_3	29.6	152	98	4	16	162	15	162	1.16E-09	61.2
ISLiv1	lane121s003977_shovill_contig00006_109	24.4	135	100	2	19	152	39	172	2.58E-09	60.8
ISLiv1	lane122s000536_megahit_k141_105-flag=0-multi=188.9776-len=100828_46	28.4	141	99	2	16	155	15	154	2.75E-09	62
ISLiv1	lane122s000601_bin.4.o_k141_656911-flag_1-multi_6.0000-len_12943_8	29.6	152	98	4	16	162	15	162	3.95E-09	61.2
ISLiv1	lane122s000600_bin.5.s_NODE_508_length_1986_cov_1.517548_1	29	145	92	4	17	159	22	157	9.09E-09	60.1
ISLiv1	lane121s003953_shovill_contig00006_61	22.9	428	297	14	29	440	22	432	2.19E-08	59.3
ISLiv1	lane821s003041_shovill_contig00008_139	22.9	428	297	14	29	440	22	432	2.19E-08	59.3
ISLiv1	lane821s003037_bin.1.p_NODE_10_length_258279_cov_463.547300_1	24.1	133	99	2	21	152	20	151	3.09E-08	57.8
ISLiv1	lane122s000529_megahit_k141_384-flag=0-multi=15.9846-len=11802_8	55.1	49	22	0	1	49	1	49	4.00E-08	52.4
ISLiv1	lane121s003977_shovill_contig00006_110	26.4	231	145	7	223	438	11	231	7.20E-08	56.2
ISLiv1	lane122s000539_shovill_contig00147_1	61	41	16	0	37	77	1	41	9.13E-08	51.6
ISLiv1	lane121s003964_megahit_k141_77-flag=1-multi=352.9859-len=598219_363	56.8	44	19	0	376	419	1	44	1.22E-07	50.8
ISLiv1	lane821s003042_shovill_contig00002_217	56.8	44	19	0	376	419	1	44	1.22E-07	50.8
ISLiv1	lane122s000605_bin.3.p_NODE_1513_length_1716_cov_1.452105_1	27.2	250	165	10	208	442	173	420	1.56E-07	56.6
ISLiv1	lane122s000529_megahit_k141_442-flag=1-multi=11.0000-len=11209_1	68.4	38	12	0	392	429	43	80	2.32E-07	51.6
ISLiv1	lane122s000600_bin.5.s_NODE_283_length_2385_cov_1.139515_2	28	150	101	3	10	159	40	182	4.77E-07	55.1
ISLiv1	lane122s000539_shovill_contig00001_304	56.4	39	15	1	220	258	5	41	8.62E-07	48.9
ISLiv1	lane821s003038_bin.1.o_k141_273-flag_0-multi_1403.5722-len_39494_8	56.4	39	15	1	220	258	5	41	8.62E-07	48.9
ISLiv1	lane122s000607_bin.1.p_NODE_1683_length_1911_cov_1.287895_3	27.6	257	157	13	208	443	19	267	1.62E-06	52.8
ISLiv1	lane122s000607_bin.1.p_NODE_1059_length_2562_cov_3.459155_3	26.6	222	151	7	232	442	308	528	2.98E-06	52.8
ISLiv1	lane122s000601_bin.6.o_k141_664408-flag_1-multi_2.0000-len_2567_5	32.9	79	50	1	217	295	16	91	3.87E-06	49.7
ISLiv1	lane821s003035_bin.1.p_NODE_10_length_64715_cov_2005.640382_40	32.6	92	62	0	270	361	37	128	4.21E-06	48.9
ISLiv1	lane122s000529_megahit_k141_274-flag=1-multi=10.0000-len=16769_12	41.8	67	36	1	10	76	4	67	5.18E-06	47
ISLiv1	lane122s000606_bin.2.s_NODE_629_length_2297_cov_1.909910_2	26.5	245	157	10	48	276	53	290	1.16E-05	50.8
ISLiv1	lane121s003976_shovill_contig00096_2	26.3	217	135	7	237	438	7	213	1.24E-05	49.3
ISLiv1	lane121s003958_shovill_contig00193_1	62.9	35	13	0	389	423	6	40	1.65E-05	44.7
ISLiv1	lane121s003958_shovill_contig00195_1	62.9	35	13	0	389	423	6	40	1.65E-05	44.7
ISLiv1	lane122s000605_bin.3.p_NODE_411_length_3885_cov_1.140231_1	25.6	250	169	11	208	442	242	489	2.02E-05	50.1
ISLiv1	lane122s000607_bin.1.p_NODE_561_length_3732_cov_3.546101_3	26.3	213	143	7	243	443	330	540	2.13E-05	50.1
ISLiv1	lane122s000607_bin.1.p_NODE_1288_length_2261_cov_4.867216_2	29	138	90	3	22	158	28	158	2.54E-05	49.7
ISLiv1	lane121s003976_shovill_contig00231_1	37.3	51	31	1	19	68	11	61	2.65E-05	44.7
ISLiv1	lane121s003958_shovill_contig00224_1	65.6	32	11	0	389	420	6	37	3.89E-05	43.5
ISLiv1	lane122s000539_shovill_contig00066_10	56.8	37	16	0	1	37	1	37	3.97E-05	43.5
ISLiv1	lane821s003038_bin.1.o_k141_417-flag_0-multi_1527.5684-len_12949_10	56.8	37	16	0	1	37	1	37	3.97E-05	43.5
ISLiv1	lane122s000607_bin.1.p_NODE_881_length_2885_cov_8.813034_3	30.3	145	82	4	14	158	33	158	4.43E-05	48.9
ISLiv1	lane122s000519_bin.1.s_NODE_3_length_159787_cov_11.212385_110	42.6	61	28	1	1	61	1	54	5.72E-05	45.1
ISLiv1	lane122s000600_bin.2.o_k141_506437-flag_1-multi_2.0000-len_1743_1	23.3	270	184	6	49	301	55	318	5.85E-05	48.5
ISLiv1	lane122s000605_bin.3.p_NODE_1430_length_1809_cov_6.350462_1	29.2	113	71	3	48	158	53	158	5.86E-05	48.5
ISLiv1	lane122s000605_bin.3.p_NODE_1449_length_1789_cov_2.100467_2	25.8	213	144	7	243	443	198	408	7.42E-05	48.1
ISLiv1	lane821s003038_bin.1.o_k141_115-flag_0-multi_1665.5843-len_100275_101	56.8	37	16	0	1	37	1	37	1.02E-04	42.4
ISLiv1	lane821s003038_bin.1.o_k141_103-flag_0-multi_1314.0534-len_16799_16	56.8	37	16	0	1	37	1	37	1.02E-04	42.4
ISLiv1	lane122s000519_bin.1.s_NODE_14_length_80892_cov_7.734839_61	58.3	36	15	0	1	36	1	36	1.02E-04	42.7
ISLiv1	lane122s000519_bin.1.s_NODE_40_length_26327_cov_8.810095_17	58.3	36	15	0	1	36	3	38	1.07E-04	42.7
ISLiv1	lane122s000519_bin.1.s_NODE_3_length_159787_cov_11.212385_154	68.8	32	10	0	382	413	4	35	1.31E-04	42
ISLiv1	lane122s000605_bin.3.p_NODE_2019_length_840_cov_1.855832_1	29	145	84	4	14	158	33	158	1.53E-04	45.1
ISLiv1	lane122s000519_bin.1.s_NODE_63_length_11675_cov_4.940766_1	44.1	59	31	1	1	57	1	59	2.33E-04	42
ISLiv1	lane122s000605_bin.3.p_NODE_851_length_2522_cov_3.287526_2	25	128	89	2	31	158	38	158	2.37E-04	46.6
ISLiv1	lane122s000607_bin.1.p_NODE_1702_length_1894_cov_3.624656_1	26.6	128	87	2	31	158	38	158	2.37E-04	46.6
ISLiv1	lane122s000529_megahit_k141_256-flag=1-multi=10.0000-len=4933_2	58.3	36	15	0	1	36	3	38	3.27E-04	41.2
ISLiv1	lane122s000607_bin.1.p_NODE_85_length_7501_cov_3.301724_10	28.3	113	72	3	48	158	53	158	5.46E-04	45.4
ISLiv1	lane122s000605_bin.3.p_NODE_111_length_6301_cov_1.999036_2	33	97	62	2	348	442	12	107	5.86E-04	42.7
ISLiv1	lane122s000605_bin.3.p_NODE_1773_length_1374_cov_1.963763_1	29	107	69	2	52	158	14	113	9.02E-04	44.7
ISLiv1	lane122s000529_megahit_k141_297-flag=0-multi=10.0000-len=19911_14	54.1	37	17	0	1	37	1	37	9.71E-04	40
ISPme1	lane122s000607_bin.1.p_NODE_632_length_3473_cov_5.612485_4	32.4	441	274	15	18	445	37	466	4.73E-47	171
ISPme1	lane122s000601_bin.6.o_k141_378293-flag_1-multi_2.0000-len_1796_1	31.2	442	268	13	8	426	11	439	4.71E-40	152
ISPme1	lane122s000606_bin.2.s_NODE_684_length_2174_cov_1.594182_1	29.3	437	284	12	19	437	17	446	2.99E-33	133
ISPme1	lane122s000600_bin.2.o_k141_234438-flag_1-multi_3.0000-len_1740_2	29.1	413	271	11	17	420	14	413	3.18E-33	132
ISPme1	lane122s000605_bin.1.o_k141_150044-flag_1-multi_10.0000-len_1978_1	28.7	439	262	14	25	426	5	429	6.63E-32	129
ISPme1	lane122s000605_bin.3.p_NODE_264_length_4686_cov_3.426991_3	30.2	450	273	14	21	444	19	453	3.06E-29	122
ISPme1	lane122s000605_bin.3.p_NODE_231_length_4928_cov_3.093383_5	29.3	427	271	12	21	424	19	437	2.68E-28	119
ISPme1	lane122s000605_bin.3.p_NODE_61_length_7663_cov_3.064593_8	29.3	427	271	12	21	424	19	437	3.66E-28	119
ISPme1	lane122s000607_bin.1.p_NODE_149_length_6238_cov_2.039604_2	29.3	427	271	12	21	424	19	437	3.66E-28	119
ISPme1	lane122s000607_bin.1.p_NODE_1823_length_1798_cov_4.139454_1	29.4	428	269	13	21	424	19	437	6.78E-28	118
ISPme1	lane122s000605_bin.3.p_NODE_1070_length_2200_cov_3.166274_1	29.2	428	270	13	21	424	19	437	2.71E-26	113
