seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
lane122s000521_bin.2.p_NODE_16_length_118837_cov_11.387715	118837	No terminal repeats	120	11	0.9991	0.0009	0	20.5094	NA	NF000025;NF000095;NF033105
lane122s000524_shovill_contig00019	43070	No terminal repeats	44	11	0.9991	0.0009	2	18.6948	MOBP2	NA
lane122s000521_bin.2.p_NODE_37_length_5103_cov_11.384998	5103	No terminal repeats	9	11	0.9991	0.0009	0	4.1626	NA	NA
lane821s003035_bin.1.p_NODE_30_length_12965_cov_102.298262	12965	No terminal repeats	20	11	0.9991	0.0009	0	5.3917	NA	NA
lane121s003952_megahit_k141_53-flag=0-multi=262.8515-len=3090	3090	No terminal repeats	6	11	0.9991	0.0009	0	2.1266	NA	NA
lane121s003965_shovill_contig00038	19949	No terminal repeats	21	11	0.9991	0.0009	0	3.8170	NA	NA
lane121s003952_megahit_k141_16-flag=0-multi=388.2762-len=5557	5557	No terminal repeats	9	11	0.9991	0.0009	0	4.6492	NA	NA
lane122s000522_shovill_contig00027	10209	DTR	10	11	0.9991	0.0009	0	3.0665	NA	NA
lane122s000541_shovill_contig00037	10277	No terminal repeats	12	11	0.9991	0.0009	0	4.7848	NA	NA
lane821s003044_shovill_contig00064	23011	No terminal repeats	28	11	0.9991	0.0009	4	12.0860	MOBQ	NA
lane821s003035_bin.1.p_NODE_44_length_6416_cov_158.513172	6416	No terminal repeats	8	11	0.9991	0.0009	0	0.7799	NA	NA
lane122s000520_bin.1.p_NODE_96_length_9210_cov_5.353553	9210	No terminal repeats	19	11	0.9991	0.0009	0	7.2288	NA	NA
lane121s003979_bin.1.s_NODE_37_length_12730_cov_104.585395	12730	No terminal repeats	12	11	0.9991	0.0009	0	7.1017	NA	NA
lane122s000522_shovill_contig00019	56479	No terminal repeats	60	11	0.9991	0.0009	0	13.5250	NA	NA
lane122s000520_bin.1.p_NODE_98_length_7655_cov_8.783980	7655	No terminal repeats	8	11	0.9991	0.0009	0	3.6450	NA	NA
lane121s003952_megahit_k141_15-flag=0-multi=3890.1474-len=12926	12926	No terminal repeats	12	11	0.9991	0.0009	0	1.7531	NA	NA
lane122s000524_shovill_contig00028	7821	No terminal repeats	4	11	0.9991	0.0009	0	2.0547	NA	NA
lane122s000521_bin.2.p_NODE_5_length_289795_cov_10.840155	289795	No terminal repeats	303	11	0.9991	0.0009	0	54.5647	NA	NF000496;NF033087
lane121s003980_megahit_k141_164-flag=0-multi=159.6982-len=12786	12786	No terminal repeats	12	11	0.9991	0.0009	0	7.1017	NA	NA
lane121s003968_megahit_k141_166-flag=0-multi=395.8298-len=55847	55847	No terminal repeats	59	11	0.9991	0.0009	0	13.5250	NA	NA
lane121s003995_shovill_contig00032	39499	No terminal repeats	47	11	0.9991	0.0009	0	5.6680	NA	NA
lane122s000522_shovill_contig00030	6469	No terminal repeats	7	11	0.9991	0.0009	0	3.1106	NA	NA
lane121s003995_shovill_contig00035	27307	No terminal repeats	23	11	0.9991	0.0009	2	7.6643	NA	NA
lane121s003952_megahit_k141_55-flag=0-multi=375.7879-len=21357	21357	No terminal repeats	23	11	0.9991	0.0009	0	4.3572	NA	NA
lane121s003962_megahit_k141_1571-flag=1-multi=5.0000-len=2663	2663	No terminal repeats	4	11	0.9991	0.0009	1	1.7148	NA	NA
lane122s000541_shovill_contig00048	5120	No terminal repeats	8	11	0.9991	0.0009	0	6.4560	NA	NA
lane122s000521_bin.2.p_NODE_11_length_225616_cov_11.123393	225616	No terminal repeats	216	11	0.9991	0.0009	7	51.7710	T_virB1;T_virB1;T_virB1	NF033087;NF033105
lane122s000521_bin.2.p_NODE_29_length_51285_cov_10.631366	51285	No terminal repeats	58	11	0.9991	0.0009	0	12.7145	NA	NA
lane121s003962_megahit_k141_705-flag=1-multi=6.0000-len=12057	12057	No terminal repeats	13	11	0.9991	0.0009	1	4.6790	NA	NA
lane121s003968_megahit_k141_183-flag=0-multi=248.8004-len=29961	29961	No terminal repeats	26	11	0.9991	0.0009	0	14.4726	NA	NA
lane122s000521_bin.2.p_NODE_27_length_57600_cov_10.960624	57600	No terminal repeats	78	11	0.9991	0.0009	0	24.6776	NA	NA
lane122s000521_bin.2.p_NODE_26_length_58662_cov_11.040659	58662	No terminal repeats	64	11	0.9991	0.0009	0	11.0019	NA	NA
lane121s003971_bin.1.s_NODE_24_length_6916_cov_85.699956	6916	DTR	6	11	0.9991	0.0009	0	3.0251	MOBV	NA
lane122s000524_shovill_contig00020	40985	No terminal repeats	40	11	0.9991	0.0009	1	24.1702	NA	NA
lane121s003971_bin.1.s_NODE_55_length_1379_cov_3.613671	1379	No terminal repeats	3	11	0.9991	0.0009	2	3.3837	MOBP2	NA
lane121s003968_megahit_k141_105-flag=0-multi=414.0622-len=10736	10736	No terminal repeats	15	11	0.9991	0.0009	0	5.9410	NA	NA
lane121s003972_bin.2.s_NODE_114_length_5177_cov_2.716667	5177	No terminal repeats	5	11	0.9991	0.0009	0	1.6387	NA	NA
lane121s003978_shovill_contig00052	5413	No terminal repeats	7	11	0.9991	0.0009	0	2.0520	NA	NA
lane122s000541_shovill_contig00023	56620	No terminal repeats	66	11	0.9991	0.0009	2	20.2423	MOBC;FA_orf13	NA
lane122s000521_bin.2.p_NODE_8_length_257819_cov_11.309069	257819	No terminal repeats	283	11	0.9991	0.0009	0	45.0403	T_virB9	NF033135;NF000262;NF012174;NF000272
lane121s003980_megahit_k141_161-flag=0-multi=171.5434-len=9130	9130	No terminal repeats	13	11	0.9991	0.0009	0	3.5937	NA	NA
lane121s003968_megahit_k141_66-flag=0-multi=263.9906-len=6418	6418	No terminal repeats	4	11	0.9991	0.0009	0	2.9091	NA	NA
lane121s003979_bin.1.s_NODE_27_length_32207_cov_109.276315	32207	No terminal repeats	41	11	0.9991	0.0009	0	9.9579	NA	NF033105
lane122s000517_bin.2.s_NODE_14_length_84942_cov_71.368232	84942	No terminal repeats	75	11	0.9991	0.0009	0	13.0649	NA	NF000051;NF012174
lane122s000519_bin.3.s_NODE_14_length_84860_cov_65.419046	84860	No terminal repeats	75	11	0.9991	0.0009	0	13.0649	NA	NF000051;NF012174
lane122s000521_bin.2.p_NODE_14_length_155421_cov_11.450561	155421	No terminal repeats	170	11	0.9991	0.0009	8	13.8620	T_virB11;T_virB2;T_virB3;T_virB5;T_virB8;T_virB9;T_virB10	NA
lane821s003035_bin.1.p_NODE_26_length_14024_cov_173.417079	14024	No terminal repeats	17	11	0.9991	0.0009	0	2.2122	NA	NA
lane121s003980_megahit_k141_59-flag=0-multi=165.8899-len=36094	36094	No terminal repeats	43	11	0.9991	0.0009	0	3.0701	NA	NA
lane122s000521_bin.1.s_NODE_22_length_68890_cov_92.381919	68890	No terminal repeats	75	11	0.9991	0.0009	1	13.0973	NA	NA
lane122s000538_bin.1.p_NODE_36_length_5101_cov_129.810311	5101	No terminal repeats	7	11	0.9991	0.0009	0	1.3621	NA	NA
lane122s000521_bin.2.p_NODE_20_length_96457_cov_11.422494	96457	No terminal repeats	108	11	0.9991	0.0009	0	15.0778	NA	NF000272;NF000262
lane121s003995_shovill_contig00004	308301	No terminal repeats	284	11	0.9991	0.0009	4	33.7866	T_virB9	NA
lane121s003980_megahit_k141_32-flag=0-multi=168.8246-len=23125	23125	No terminal repeats	23	11	0.9991	0.0009	2	7.3626	FA_orf13	NA
lane121s003978_shovill_contig00038	19468	No terminal repeats	15	11	0.9991	0.0009	1	6.0425	NA	NA
lane121s003979_bin.1.s_NODE_20_length_60977_cov_101.938030	60977	No terminal repeats	67	11	0.9991	0.0009	3	19.2229	FA_orf13	NA
lane121s003968_megahit_k141_165-flag=0-multi=240.3757-len=3705	3705	No terminal repeats	5	11	0.9991	0.0009	0	1.7183	NA	NA
lane121s003979_bin.1.s_NODE_38_length_12297_cov_98.916448	12297	No terminal repeats	15	11	0.9991	0.0009	0	0.6765	NA	NA
lane121s003979_bin.1.s_NODE_40_length_9002_cov_102.581737	9002	No terminal repeats	12	11	0.9991	0.0009	0	3.5937	NA	NA
lane121s003980_megahit_k141_50-flag=0-multi=165.6819-len=12591	12591	No terminal repeats	15	11	0.9990	0.0009	0	0.6765	NA	NA
lane122s000521_bin.2.p_NODE_17_length_107520_cov_10.333032	107520	No terminal repeats	107	11	0.9990	0.0009	1	16.4790	T_virB9	NA
lane122s000541_shovill_contig00024	56519	No terminal repeats	63	11	0.9990	0.0009	0	8.9188	NA	NF033105;NF000005;NF000138
lane121s003995_shovill_contig00050	5400	No terminal repeats	8	11	0.9990	0.0009	0	4.7032	NA	NA
lane122s000520_bin.1.p_NODE_39_length_48358_cov_12.917400	48358	No terminal repeats	43	11	0.9990	0.0009	0	12.2702	NA	NA
lane121s003978_shovill_contig00050	5865	No terminal repeats	6	11	0.9990	0.0009	0	1.0493	NA	NA
lane121s003972_bin.2.s_NODE_278_length_3505_cov_4.044049	3505	No terminal repeats	3	11	0.9990	0.0009	0	1.7183	NA	NA
lane122s000521_bin.1.s_NODE_28_length_43768_cov_148.166579	43768	ITR	35	11	0.9990	0.0009	0	7.2905	NA	NA
lane121s003965_shovill_contig00031	33877	No terminal repeats	35	11	0.9990	0.0009	0	12.0418	NA	NA
lane121s003978_shovill_contig00040	14916	No terminal repeats	12	11	0.9990	0.0009	0	0.4752	NA	NA
lane121s003952_megahit_k141_51-flag=0-multi=221.8611-len=38322	38322	No terminal repeats	44	11	0.9990	0.0009	0	0.9835	NA	NA
lane121s003965_shovill_contig00026	42078	No terminal repeats	55	11	0.9990	0.0009	0	12.3772	NA	NF012212
lane121s003995_shovill_contig00019	132707	No terminal repeats	117	11	0.9990	0.0009	0	16.5755	T_virB9	NF033156
lane121s003952_megahit_k141_183-flag=0-multi=218.4240-len=9225	9225	No terminal repeats	14	11	0.9990	0.0009	0	0.3810	NA	NA
lane121s003952_megahit_k141_47-flag=0-multi=231.5581-len=12688	12688	No terminal repeats	16	11	0.9990	0.0009	0	3.0634	NA	NA
lane121s003962_megahit_k141_122-flag=1-multi=6.0000-len=5929	5929	No terminal repeats	11	11	0.9990	0.0009	0	3.1014	NA	NA
lane122s000521_bin.2.p_NODE_9_length_236776_cov_10.381337	236776	No terminal repeats	221	11	0.9990	0.0009	0	32.6940	NA	NF033135
lane121s003962_megahit_k141_660-flag=1-multi=5.0000-len=14248	14248	No terminal repeats	13	11	0.9990	0.0009	1	2.9273	NA	NA
lane122s000520_bin.1.p_NODE_73_length_15013_cov_3.300281	15013	No terminal repeats	18	11	0.9990	0.0009	0	2.6244	NA	NA
lane121s003965_shovill_contig00051	9537	DTR	12	11	0.9990	0.0009	0	1.0460	NA	NA
lane821s003035_bin.1.p_NODE_45_length_6099_cov_95.143308	6099	No terminal repeats	6	11	0.9990	0.0009	0	1.7183	NA	NA
lane121s003965_shovill_contig00034	29079	No terminal repeats	21	11	0.9990	0.0009	0	9.9796	NA	NA
lane821s003035_bin.1.p_NODE_40_length_7772_cov_28.199220	7772	No terminal repeats	8	11	0.9990	0.0009	0	0.7072	NA	NA
lane122s000721_shovill_contig00426	2717	No terminal repeats	3	11	0.9990	0.0009	0	1.7183	NA	NA
lane121s003962_megahit_k141_266-flag=0-multi=4.9940-len=8170	8170	No terminal repeats	8	11	0.9990	0.0009	1	3.4752	NA	NA
lane121s003952_megahit_k141_7-flag=0-multi=258.6312-len=8535	8535	No terminal repeats	10	11	0.9990	0.0009	0	5.0648	NA	NF012212
lane122s000522_shovill_contig00013	167125	No terminal repeats	177	11	0.9990	0.0009	0	23.9896	NA	NF012212
lane121s003952_megahit_k141_29-flag=0-multi=367.2225-len=11941	11941	No terminal repeats	15	11	0.9990	0.0009	0	5.7646	NA	NF000145
lane121s003952_megahit_k141_103-flag=0-multi=404.6334-len=26586	26586	No terminal repeats	23	11	0.9990	0.0009	0	5.5198	NA	NA
lane122s000522_shovill_contig00015	112211	No terminal repeats	108	11	0.9990	0.0009	2	33.7476	MOBP2	NA
lane122s000521_bin.1.s_NODE_38_length_12138_cov_98.454772	12138	No terminal repeats	13	11	0.9990	0.0009	0	0.2504	NA	NA
lane122s000541_shovill_contig00011	172515	No terminal repeats	165	11	0.9990	0.0009	3	56.7148	MOBP2	NA
lane121s003952_megahit_k141_159-flag=0-multi=219.3104-len=3266	3266	No terminal repeats	5	11	0.9990	0.0009	0	1.7183	NA	NA
lane121s003980_megahit_k141_48-flag=0-multi=172.2531-len=14798	14798	No terminal repeats	18	11	0.9990	0.0009	0	4.0231	NA	NA
lane121s003965_shovill_contig00039	16569	No terminal repeats	26	11	0.9990	0.0009	0	2.0559	NA	NA
lane121s003962_megahit_k141_552-flag=1-multi=5.0000-len=9960	9960	No terminal repeats	16	11	0.9990	0.0009	0	6.7377	NA	NA
lane121s003980_megahit_k141_98-flag=0-multi=167.2939-len=5817	5817	No terminal repeats	5	11	0.9990	0.0009	0	1.7276	NA	NA
lane121s003978_shovill_contig00030	35680	No terminal repeats	42	11	0.9990	0.0009	0	9.1035	NA	NA
lane122s000541_shovill_contig00028	36533	No terminal repeats	40	11	0.9990	0.0009	0	1.0842	NA	NA
lane121s003968_megahit_k141_125-flag=0-multi=239.9008-len=44362	44362	No terminal repeats	43	11	0.9990	0.0009	0	10.5047	NA	NA
lane122s000521_bin.2.p_NODE_7_length_282703_cov_10.347594	282703	No terminal repeats	246	11	0.9990	0.0009	0	21.2708	NA	NF000496
lane122s000522_shovill_contig00016	89241	No terminal repeats	96	11	0.9990	0.0009	2	0.7514	MOBP2	NF033074;NF000493
lane821s003035_bin.1.p_NODE_29_length_13893_cov_137.980819	13893	No terminal repeats	14	11	0.9990	0.0009	0	6.5723	NA	NA
lane122s000517_bin.2.s_NODE_4_length_341455_cov_71.317065	341455	No terminal repeats	299	11	0.9990	0.0009	1	31.5505	T_virB9;T_virB1	NF000496;NF033476
lane122s000516_shovill_contig00016	37491	No terminal repeats	40	11	0.9990	0.0009	1	8.1735	FATA_trsL;T_virB11	NA
lane121s003995_shovill_contig00042	18232	No terminal repeats	18	11	0.9990	0.0009	0	3.3214	NA	NA
lane122s000538_bin.1.p_NODE_20_length_56722_cov_154.885391	56722	No terminal repeats	47	11	0.9990	0.0009	0	14.7646	NA	NA
lane122s000519_bin.3.s_NODE_4_length_341324_cov_61.954277	341324	No terminal repeats	299	11	0.9990	0.0009	1	31.5505	T_virB9;T_virB1	NF000496;NF033476
lane122s000541_shovill_contig00027	41378	No terminal repeats	33	11	0.9990	0.0009	0	3.7406	NA	NF012174
lane121s003962_megahit_k141_643-flag=1-multi=6.0000-len=3253	3253	No terminal repeats	4	11	0.9990	0.0009	1	1.3437	NA	NA
lane122s000544_bin.1.s_NODE_18_length_4843_cov_54.155057	4843	No terminal repeats	4	11	0.9990	0.0009	0	0.6203	NA	NA
lane121s003952_megahit_k141_34-flag=0-multi=239.6267-len=15506	15506	No terminal repeats	13	11	0.9990	0.0009	0	5.8811	NA	NA
lane121s003960_shovill_contig00074	8508	DTR	10	11	0.9990	0.0009	0	2.9605	NA	NA
lane121s003980_megahit_k141_8-flag=0-multi=165.2836-len=2905	2905	No terminal repeats	5	11	0.9990	0.0009	0	3.0899	NA	NA
lane121s003962_megahit_k141_953-flag=1-multi=4.0000-len=3434	3434	No terminal repeats	5	11	0.9990	0.0009	0	2.4569	NA	NA
lane122s000517_bin.2.s_NODE_13_length_90293_cov_71.116598	90293	No terminal repeats	90	11	0.9990	0.0009	0	10.1332	NA	NA
lane122s000519_bin.3.s_NODE_13_length_90233_cov_60.510404	90233	No terminal repeats	90	11	0.9990	0.0009	0	10.1332	NA	NA
lane122s000520_bin.1.p_NODE_7_length_151870_cov_23.021457	151870	No terminal repeats	135	11	0.9990	0.0009	2	15.4413	T_virB9	NF000272;NF000496
lane821s003035_bin.1.p_NODE_22_length_17534_cov_60.791373	17534	No terminal repeats	25	11	0.9990	0.0009	0	6.2645	NA	NA
lane121s003952_megahit_k141_48-flag=0-multi=374.5736-len=21193	21193	No terminal repeats	21	11	0.9990	0.0009	0	5.0809	NA	NA
lane121s003952_megahit_k141_71-flag=0-multi=384.0777-len=2509	2509	No terminal repeats	3	11	0.9990	0.0009	0	1.1054	NA	NA
lane122s000520_bin.1.p_NODE_84_length_12302_cov_20.871411	12302	No terminal repeats	17	11	0.9990	0.0009	0	7.2200	NA	NA
lane121s003972_bin.2.s_NODE_115_length_5177_cov_2.631569	5177	No terminal repeats	7	11	0.9990	0.0009	0	6.3569	NA	NA
lane821s003035_bin.1.p_NODE_19_length_25188_cov_21.289515	25188	No terminal repeats	22	11	0.9990	0.0009	0	11.4652	NA	NA
lane121s003971_bin.1.s_NODE_17_length_38326_cov_101.704986	38326	No terminal repeats	37	11	0.9990	0.0009	0	7.5256	NA	NA
lane121s003968_megahit_k141_191-flag=0-multi=238.9414-len=97613	97613	No terminal repeats	101	11	0.9990	0.0009	0	7.2496	NA	NF033117;NF000493;NF033135
lane121s003968_megahit_k141_53-flag=0-multi=260.9210-len=79104	79104	No terminal repeats	75	11	0.9990	0.0009	0	1.8945	NA	NA
lane121s003968_megahit_k141_104-flag=3-multi=11146.0000-len=4046	4046	DTR	5	11	0.9990	0.0009	0	0.1902	NA	NA
lane122s000531_bin.1.o_k141_31-flag_0-multi_152.9742-len_70760	70760	No terminal repeats	64	11	0.9990	0.0009	0	9.4002	T_virB9	NA
lane821s003044_shovill_contig00060	26307	No terminal repeats	27	11	0.9989	0.0009	0	1.4494	NA	NA
lane121s003980_megahit_k141_108-flag=0-multi=185.8568-len=15646	15646	No terminal repeats	12	11	0.9989	0.0009	1	4.7259	NA	NA
lane121s003952_megahit_k141_9-flag=0-multi=278.2173-len=3897	3897	No terminal repeats	6	11	0.9989	0.0009	0	1.5635	NA	NA
lane821s003035_bin.1.p_NODE_50_length_4266_cov_97.951301	4266	No terminal repeats	5	11	0.9989	0.0009	0	0.5455	NA	NA
lane121s003978_shovill_contig00027	44668	No terminal repeats	49	11	0.9989	0.0009	0	14.6407	NA	NA
lane122s000541_shovill_contig00049	4471	No terminal repeats	4	11	0.9989	0.0009	0	2.1686	NA	NA
lane122s000540_bin.1.p_NODE_159_length_2881_cov_23.706134	2881	No terminal repeats	4	11	0.9989	0.0009	0	3.4245	NA	NA
lane121s003965_shovill_contig00035	28691	No terminal repeats	31	11	0.9989	0.0009	0	8.9090	NA	NA
lane122s000530_shovill_contig00018	18780	No terminal repeats	22	11	0.9989	0.0009	2	17.9464	MOBP2	NA
lane821s003035_bin.1.p_NODE_49_length_5006_cov_72.634814	5006	No terminal repeats	7	11	0.9989	0.0009	0	1.8677	NA	NA
lane121s003965_shovill_contig00037	22269	No terminal repeats	18	11	0.9989	0.0009	0	11.3109	NA	NA
lane121s003965_shovill_contig00022	51827	No terminal repeats	55	11	0.9989	0.0010	2	19.3511	MOBP2	NA
lane122s000602_bin.1.o_k141_65396-flag_0-multi_11.9257-len_3693	3693	No terminal repeats	7	11	0.9989	0.0010	1	3.8840	NA	NA
lane121s003978_shovill_contig00053	5103	No terminal repeats	4	11	0.9989	0.0010	0	0.5402	NA	NA
lane122s000519_bin.3.s_NODE_15_length_57961_cov_65.445218	57961	No terminal repeats	59	11	0.9989	0.0010	0	7.8011	NA	NA
lane122s000538_bin.1.p_NODE_34_length_5496_cov_68.842960	5496	No terminal repeats	6	11	0.9989	0.0010	0	1.3621	NA	NA
lane821s003035_bin.1.p_NODE_15_length_45303_cov_725.842016	45303	No terminal repeats	47	11	0.9989	0.0010	0	7.1471	NA	NF012212;NF033134
lane122s000521_bin.2.p_NODE_2_length_593459_cov_11.790907	593459	No terminal repeats	520	11	0.9989	0.0010	3	21.4946	NA	NF033117;NF038306;NF000493;NF000469
lane122s000521_bin.1.s_NODE_18_length_95702_cov_141.488826	95702	No terminal repeats	100	11	0.9989	0.0010	0	31.0807	NA	NA
lane122s000520_bin.1.p_NODE_66_length_19909_cov_5.414078	19909	No terminal repeats	17	11	0.9989	0.0010	0	1.5816	NA	NA
lane121s003980_megahit_k141_83-flag=0-multi=145.9032-len=18125	18125	No terminal repeats	21	11	0.9989	0.0010	0	5.5503	NA	NA
lane122s000524_shovill_contig00006	412233	No terminal repeats	353	11	0.9989	0.0010	1	16.2585	NA	NF000051;NF012212
lane122s000521_bin.2.p_NODE_34_length_17283_cov_11.897768	17283	No terminal repeats	23	11	0.9989	0.0010	0	3.9528	NA	NA
lane121s003962_megahit_k141_1267-flag=1-multi=5.0000-len=5802	5802	No terminal repeats	8	11	0.9989	0.0010	0	2.4913	NA	NA
lane122s000605_bin.3.p_NODE_493_length_3567_cov_3.164470	3567	No terminal repeats	5	11	0.9989	0.0010	1	1.4894	MOBQ	NA
lane821s003044_shovill_contig00031	71451	No terminal repeats	71	11	0.9989	0.0010	0	7.9963	NA	NA
lane121s003952_megahit_k141_27-flag=0-multi=223.1156-len=20562	20562	No terminal repeats	25	11	0.9989	0.0010	0	8.9741	NA	NA
lane121s003995_shovill_contig00003	376530	No terminal repeats	335	11	0.9989	0.0010	0	31.5492	NA	NF012178;NF000272;NF033117;NF000272;NF033105;NF000270;NF000496
lane121s003971_bin.1.s_NODE_173_length_526_cov_5.641425	526	No terminal repeats	1	11	0.9989	0.0010	1	0.9349	NA	NA
lane122s000606_bin.2.s_NODE_514_length_2754_cov_3.326485	2754	No terminal repeats	5	11	0.9989	0.0010	0	4.9799	NA	NA
lane121s003995_shovill_contig00037	22882	No terminal repeats	21	11	0.9989	0.0010	0	7.1290	NA	NA
lane122s000532_bin.1.p_NODE_14_length_6451_cov_118.189677	6451	No terminal repeats	9	11	0.9989	0.0010	0	0.7757	NA	NA
lane121s003995_shovill_contig00022	96011	No terminal repeats	82	11	0.9989	0.0010	0	6.2282	NA	NF000272;NF000469
lane821s003044_shovill_contig00033	63621	No terminal repeats	58	11	0.9989	0.0010	0	9.1527	NA	NA
lane122s000523_bin.1.p_NODE_47_length_40989_cov_95.843347	40989	No terminal repeats	41	11	0.9989	0.0010	0	10.0830	NA	NA
lane121s003978_shovill_contig00028	43957	No terminal repeats	54	11	0.9989	0.0010	1	10.4019	NA	NA
lane122s000517_bin.2.s_NODE_7_length_249673_cov_70.919250	249673	No terminal repeats	230	11	0.9989	0.0010	2	22.8338	NA	NF033117;NF000272
lane121s003962_megahit_k141_935-flag=1-multi=7.0000-len=3145	3145	No terminal repeats	3	11	0.9989	0.0010	3	3.3629	T_virB6;T_virB6;virb4	NA
lane121s003952_megahit_k141_107-flag=0-multi=252.7262-len=22231	22231	No terminal repeats	18	11	0.9989	0.0010	0	11.3109	NA	NA
lane122s000531_bin.1.o_k141_152-flag_0-multi_171.8581-len_29059	29059	No terminal repeats	28	11	0.9989	0.0010	0	4.8106	NA	NA
